#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_darkhan2;Darkhan;;;;;;;;;;;;;x
d_alxa;Alxa;;;;;;;;;;;;;x
b_alxa;Alxa;;;;;;;;;;;;;x
b_bayan_nur;Bayan Nur;;;;;;;;;;;;;x
d_mandakh;Mandakh;;;;;;;;;;;;;x
b_mandakh;Mandakh;;;;;;;;;;;;;x
b_siziwang;Siziwang;;;;;;;;;;;;;x
b_sonid;Sonid;;;;;;;;;;;;;x
b_sainshand;Sainshand;;;;;;;;;;;;;x
d_bayandelger;Bayandelger;;;;;;;;;;;;;x
b_bayandelger;Bayandelger;;;;;;;;;;;;;x
b_baruunurt;Baruun-Urt;;;;;;;;;;;;;x
d_choibalsan;Choibalsan;;;;;;;;;;;;;x
b_bayan_ovoo;Bayan Ovoo;;;;;;;;;;;;;x
b_choibalsan;Choibalsan;;;;;;;;;;;;;x
b_duldurga;Dul'Durga;;;;;;;;;;;;;x
b_dashbalbar;Dashbalbar;;;;;;;;;;;;;x
d_pakali;Pakali;;;;;;;;;;;;;x
b_kalar2;Kalar;;;;;;;;;;;;;x
b_amgun;Amgun;;;;;;;;;;;;;x
b_pakali;Pakali;;;;;;;;;;;;;x
b_kerin;Kerin;;;;;;;;;;;;;x
d_noro;Noro;;;;;;;;;;;;;x
b_makan;Makan;;;;;;;;;;;;;x
b_tondon;Tondon;;;;;;;;;;;;;x
d_aihom;Aihom;;;;;;;;;;;;;x
b_boli;Boli;;;;;;;;;;;;;x
b_numen;Numen;;;;;;;;;;;;;x
d_silimpdi;Silimpdi;;;;;;;;;;;;;x
b_silimpdi;Silimpdi;;;;;;;;;;;;;x
b_ongue;Ongue;;;;;;;;;;;;;x
b_hinkan;Hinkan;;;;;;;;;;;;;x
d_amazar;Amazar;;;;;;;;;;;;;x
b_amazar;Amazar;;;;;;;;;;;;;x
b_urkan;Urkan;;;;;;;;;;;;;x
d_onan_gol;Onan Gol;;;;;;;;;;;;;x
b_onan_gol;Onan Gol;;;;;;;;;;;;;x
b_ergun;Ergun;;;;;;;;;;;;;x
b_chara;Chara;;;;;;;;;;;;;x
d_yakesa;Yakesa;;;;;;;;;;;;;x
b_yakesa;Yakesa;;;;;;;;;;;;;x
b_oroqen;Oroqen;;;;;;;;;;;;;x
b_kamara;Kamara;;;;;;;;;;;;;x
d_changchun;Changchun;;;;;;;;;;;;;x
b_tongliao;Tongliao;;;;;;;;;;;;;x
b_songyuan;Songyuan;;;;;;;;;;;;;x
b_baicheng;Baicheng;;;;;;;;;;;;;x
d_chifeng;Chifeng;;;;;;;;;;;;;x
b_xilin_gol;Xilin Gol;;;;;;;;;;;;;x
b_chifeng;Chifeng;;;;;;;;;;;;;x
b_naiman2;Naiman;;;;;;;;;;;;;x
d_hulun_buir;Hulun Buir;;;;;;;;;;;;;x
b_arxan;Arxan;;;;;;;;;;;;;x
b_ujimqin;Ujimqin;;;;;;;;;;;;;x
d_tonai;Tonai;;;;;;;;;;;;;x
b_tonai;Tonai;;;;;;;;;;;;;x
e_jurchen;Jurchen Empire;;;;;;;;;;;;;x # Will be renamed to "Jin Empire" (or whatever the player chooses) when founded in the history/through a decision
