#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_lamuri;Lamuri;;;;;;;;;;;;;x
d_andaman;Andaman;;;;;;;;;;;;;x
d_aru;Aru;;;;;;;;;;;;;x
b_peureulak;Peureulak;;;;;;;;;;;;;x
d_nias;Nias;;;;;;;;;;;;;x
b_pulau;Pulau;;;;;;;;;;;;;x
b_tanahbala;Tanahbala;;;;;;;;;;;;;x
k_riau;Riau;;;;;;;;;;;;;x
b_bagansiapiapi;Bagansiapiapi;;;;;;;;;;;;;x
b_dumai;Dumai;;;;;;;;;;;;;x
d_kampar;Kampar;;;;;;;;;;;;;x
b_kuantan_singingi;Kuantan Singingi;;;;;;;;;;;;;x
d_mentawai;Mentawai;;;;;;;;;;;;;x
b_bobokan;Bobokan;;;;;;;;;;;;;x
b_pagai;Pagai;;;;;;;;;;;;;x
d_padang;Padang;;;;;;;;;;;;;x
b_pandan;Pandan;;;;;;;;;;;;;x
b_lubuk_basung;Lubuk Basung;;;;;;;;;;;;;x
b_padang;Padang;;;;;;;;;;;;;x
d_pelalawan;Pelalawan;;;;;;;;;;;;;x
b_bengkalis;Bengkalis;;;;;;;;;;;;;x
b_tembilahan;Tembilahan;;;;;;;;;;;;;x
d_riau_islands;Riau Islands;;;;;;;;;;;;;x
d_kerinci;Kerinci;;;;;;;;;;;;;x
b_siulak;Siulak;;;;;;;;;;;;;x
b_kayuagung;Kayu Agung;;;;;;;;;;;;;x
b_sekayu;Sekayu;;;;;;;;;;;;;x
d_muara_enim;Muara Enim;;;;;;;;;;;;;x
b_muara_beliti;Muara Beliti;;;;;;;;;;;;;x
b_merangin;Merangin;;;;;;;;;;;;;x
b_gunungmegang;Gunungmegang;;;;;;;;;;;;;x
d_bengkulu;Bengkulu;;;;;;;;;;;;;x
b_bintuhan;Bintuhan;;;;;;;;;;;;;x
b_kota_agung_pusat;Kota Agung Pusat;;;;;;;;;;;;;x
d_lampung;Lampung;;;;;;;;;;;;;x
b_bandar_lampung;Bandar Lampung;;;;;;;;;;;;;x
b_malang;Malang;;;;;;;;;;;;;x
